年份,大型储能,工商业储能,户用储能,总计_MWh
2018,0.0,0.0,0.0263,0.0263
2019,28749.541999999998,47.10495,498.84463,29295.491579999998
2020,7441.0834,61.208917,891.534974,8393.827291000001
2021,1091363.582,91.30256,1318.510845,1092773.3954049998
2022,309.67468,103.869154,1891.09441,2304.6382439999998
2023,1866.7455920000002,203.883919,5023.738988,7094.368499
2024,3084.526661,316.993588,5368.973728,8770.493977
2025,7411.54993,446.320272,4916.023959,12773.894161
2026,30522.549186,576.601039,4188.593407,35287.743632
